source,job_type,month,year,job_id,job_title,salary,location,exp,level,industry,company_name,tools
Topcv,Business Analyst,12,2025,1971436,Fresher BA Tiếng Nhật,,Hồ Chí Minh,1.0,Trưởng nhóm,Tài chính,FPT Software,
Topcv,Business Analyst,12,2025,1743821,Senior Business Analyst/PO,,Hà Nội,5.0,,,FPT IS,
Topcv,Business Analyst,12,2025,1718524,Business Analyst,34.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,SQL
Topcv,Business Analyst,12,2025,1842658,Middle Business Analyst (English),28.0,Hà Nội,3.0,Trưởng nhóm,Tài chính,CÔNG TY CỔ PHẦN PAYTECH,
Topcv,Business Analyst,12,2025,1969380,Phân Tích Nghiệp Vụ (Business Analyst),22.5,Hà Nội,2.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,"Confluence,Jira,NetSuite,Oracle,SQL,Trello"
Topcv,Business Analyst,12,2025,1952080,Senior Business Analyst,25.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,Công ty Cổ phần Đầu tư và Phát triển Koolsoft,"Jira,SQL,Visio"
Topcv,Business Analyst,12,2025,1968467,Business Analyst Dự Án Ngân Hàng,27.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,
Topcv,Business Analyst,12,2025,1853416,Product R&D Specialist - Lĩnh Vực Edtech,13.5,Hà Nội,2.0,Trưởng nhóm,Giáo dục/Đào tạo,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,"Excel,Power BI,R"
Topcv,Business Analyst,12,2025,1965007,Business Analyst (Fintech),35.5,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,Công ty Cổ phần Công nghệ Alphaway,
Topcv,Business Analyst,12,2025,1920736,Business Analyst - 2 Năm Kinh Nghiệm,25.0,Hà Nội,2.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN PARALINE SOFTWARE,"Azure,Confluence,Jira,SQL"
Topcv,Business Analyst,12,2025,1963982,Business Analyst,,Hà Nội,4.0,Trưởng nhóm,IT - Phần mềm,"TECHVIFY SOFTWARE., JSC","Azure,Jira,SQL"
Topcv,Business Analyst,12,2025,1920767,Business Analyst,16.0,Hà Nội,2.0,Trưởng nhóm,In ấn/Xuất bản,NHÀ SÁCH TIẾN THỌ,
Topcv,Business Analyst,12,2025,1926996,Business Analyst Next-Gen,,Hà Nội,5.0,Trưởng nhóm,Chứng khoán,VNDIRECT,"Python,R,SQL"
Topcv,Business Analyst,12,2025,1962317,Business Analyst,50.0,Hà Nội,4.0,Trưởng nhóm,IT - Phần mềm,"TECHVIFY SOFTWARE., JSC","Azure,Confluence,Jira,SQL"
Topcv,Business Analyst,12,2025,1847456,Business Analyst,30.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,SQL
Topcv,Business Analyst,12,2025,1920741,Business Analyst (Core),34.5,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,SQL
Topcv,Business Analyst,12,2025,718575,Business Analyst (Banking),30.5,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,Alphaway Technology,
Topcv,Business Analyst,12,2025,1962076,Business Analyst (Fintech),35.5,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,Alphaway Technology,
Topcv,Business Analyst,12,2025,1905699,Business Analyst (ERP/SAP),,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN DỊCH VỤ DI ĐỘNG THỂ HỆ MỚI (NMS),
Topcv,Business Analyst,12,2025,1960570,Chuyên Viên Giải Pháp Nghiệp Vụ,20.0,Hà Nội,3.0,Quản lý/Giám sát,IT - Phần mềm,Tổng Công ty Mạng lưới Viettel – Chi nhánh Tập đoàn Công nghiệp – Viễn thông Quân đội,SQL
Topcv,Business Analyst,12,2025,1958201,Trưởng Nhóm Business Analyst,,Hà Nội,2.0,Trưởng nhóm,Điện tử/Điện lạnh,Công ty CP Casper Việt Nam,Visio
Topcv,Business Analyst,12,2025,1956558,Business Analyst (Banking),29.5,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,Công ty Cổ phần Công nghệ Alphaway,"Axure,Balsamiq,SQL"
Topcv,Business Analyst,12,2025,1909244,"Business Analyst (Staffing, Middle)",21.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,Công ty cổ phần Synodus,Axure
Topcv,Business Analyst,12,2025,1894336,"Junior Business Analyst At Bitel, Based In Peru",32.5,Nước Ngoài,1.0,Nhân viên,Viễn thông,Viettel Peru,
Topcv,Business Analyst,12,2025,1514569,Business Analyst (BA) - Team Lead,,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY TRÁCH NHIỆM HỮU HẠN GIẢI PHÁP CÔNG NGHỆ CỘNG,"Excel,Power BI,SQL"
Topcv,Business Analyst,12,2025,1953614,Chuyên Viên Phân Tích Nghiệp Vụ (BA) - Cơ Khí Chính Xác,,Tây Ninh,2.0,Nhân viên,Tự động hóa,CÔNG TY TNHH FUKUDA.AI,
Topcv,Business Analyst,12,2025,1952244,Business Analyst (Domain Bảo Hiểm Phi Nhân Thọ),34.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,Alphaway Technology,
Topcv,Business Analyst,12,2025,1611890,Senior System Analyst/Business Analyst - HN,,Hà Nội,5.0,,,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),
Topcv,Business Analyst,12,2025,1889236,Business Analyst,,Hà Nội,2.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,R
Topcv,Business Analyst,12,2025,1566857,Business Analyst,,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"Hadoop,Hive,Oracle,SQL"
Topcv,Business Analyst,12,2025,1704185,Trưởng Nhóm Phân Tích Nghiệp Vụ (Leader BA),25.0,Hà Nội,5.0,Quản lý/Giám sát,IT - Phần mềm,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,
Topcv,Business Analyst,12,2025,1945645,Business Analyst (Tiếng Nhật),40.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,NTQ Solution,
Topcv,Business Analyst,12,2025,1902416,Business Analyst (Leader - Dự Án GOV/ Healthcare),,Hà Nội,5.0,Trưởng nhóm,IT - Phần mềm,Công ty cổ phần Synodus,
Topcv,Business Analyst,12,2025,1942008,Trưởng Nhóm Phát Triển SAP,,Hà Nội,5.0,Trưởng nhóm,Sản xuất,CÔNG TY CỔ PHẦN EUROWINDOW,
Topcv,Business Analyst,12,2025,1942971,Senior System Analyst - Hà Nội - TA174,,Hà Nội,5.0,,,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),
Topcv,Business Analyst,12,2025,1943620,Senior IT Business Analyst - Dự Án QLTSĐB - TA172,,Hà Nội,4.0,,,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),
Topcv,Business Analyst,12,2025,1831041,Business Analyst - 3 Năm Kinh Nghiệm Trở Lên,,Hà Nội,3.0,Trưởng nhóm,Thương mại tổng hợp,Công ty cp đầu tư và công nghệ gtek việt nam,"Excel,Powerpoint,SQL"
Topcv,Business Analyst,12,2025,1940705,Business Analyst (Japanese N2 Up) - Signing Bonus UpTo 40M,,Đà Nẵng,1.0,Nhân viên,Tài chính,FPT Software,
Topcv,Business Analyst,12,2025,1898799,Business Analyst,30.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN TƯ VẤN CÔNG NGHỆ NGS,
Topcv,Business Analyst,12,2025,1750886,Business Analyst,,Khánh Hòa,3.0,Nhân viên,Tài chính,FPT Software,Jira
Topcv,Business Analyst,12,2025,1823145,Senior Business Analyst,20.0,Hà Nội,3.0,Trưởng nhóm,IT - Phần mềm,CÔNG TY CỔ PHẦN BUCA,
Topcv,Business Analyst,12,2025,1881547,Trợ Lý Công Nghệ (Senior BA),17.5,Hà Nội,1.0,Nhân viên,Giáo dục/Đào tạo,Công ty Cổ phần Đầu tư HBR Holdings,
Topcv,Business Analyst,12,2025,1881994,Trợ Lý Mảng Công Nghệ (Senior BA),17.5,Hà Nội,2.0,Nhân viên,Giáo dục/Đào tạo,Công ty cổ phần đầu tư HBR Holdings,
Topcv,Business Analyst,12,2025,1314080,Trợ Lý Mảng Công Nghệ Thông Tin ( Senior BA),17.5,Hà Nội,3.0,Nhân viên,Giáo dục/Đào tạo,HBR Holdings,
